seq,rssi,snr,avg_snr,timestamp,attenuator,gain
0,-129.00,11.99,10.06,1473675863,0.0,-4.43697499233
1,-78.00,8.17,9.90,1473675871,0.0,-4.43697499233
2,-126.00,10.24,9.79,1473675878,0.0,-4.43697499233
3,-78.00,8.27,9.68,1473675886,0.0,-4.43697499233
4,-129.00,14.25,9.53,1473675894,0.0,-4.43697499233
5,-77.00,8.41,9.84,1473675901,0.0,-4.43697499233
6,-78.00,8.54,9.88,1473675909,0.0,-4.43697499233
7,-132.00,12.28,9.80,1473675917,0.0,-4.43697499233
8,-127.00,9.95,10.02,1473675924,0.0,-4.43697499233
9,-78.00,8.40,10.15,1473675933,0.0,-4.43697499233
10,-127.00,13.82,9.99,1473675940,0.0,-4.43697499233
11,-125.00,8.68,10.12,1473675948,0.0,-4.43697499233
12,-76.00,8.83,10.23,1473675956,0.0,-4.43697499233
13,-77.00,8.55,9.88,1473675963,0.0,-4.43697499233
14,-78.00,8.71,9.92,1473675971,0.0,-4.43697499233
15,-127.00,11.52,9.88,1473675979,0.0,-4.43697499233
16,-124.00,11.52,9.80,1473675986,0.0,-4.43697499233
17,-77.00,9.03,9.97,1473675994,0.0,-4.43697499233
18,-125.00,10.05,9.98,1473676002,0.0,-4.43697499233
19,-127.00,12.09,9.99,1473676009,0.0,-4.43697499233
20,-124.00,10.78,10.19,1473676017,0.0,-4.43697499233
21,-80.00,8.51,10.06,1473676025,0.0,-4.43697499233
22,-80.00,8.59,10.09,1473676032,0.0,-4.43697499233
23,-81.00,8.55,9.97,1473676040,0.0,-4.43697499233
24,-81.00,8.63,10.00,1473676047,0.0,-4.43697499233
25,-82.00,9.13,9.96,1473676055,0.0,-4.43697499233
26,-79.00,8.94,9.77,1473676063,0.0,-4.43697499233
27,-79.00,8.70,9.73,1473676070,0.0,-4.43697499233
29,-80.00,8.97,10.03,1473676086,0.0,-4.43697499233
30,-80.00,8.77,9.99,1473676093,0.0,-4.43697499233
31,-130.00,10.37,9.98,1473676101,0.0,-4.43697499233
32,-80.00,8.93,10.01,1473676109,0.0,-4.43697499233
33,-80.00,8.28,10.06,1473676116,0.0,-4.43697499233
34,-80.00,8.52,9.91,1473676124,0.0,-4.43697499233
35,-127.00,11.14,9.90,1473676131,0.0,-4.43697499233
36,-80.00,8.93,9.97,1473676139,0.0,-4.43697499233
37,-80.00,8.34,9.89,1473676147,0.0,-4.43697499233
38,-130.00,10.86,9.43,1473676154,0.0,-4.43697499233
39,-133.00,9.54,9.54,1473676162,0.0,-4.43697499233
40,-81.00,9.16,9.70,1473676170,0.0,-4.43697499233
41,-136.00,9.93,9.94,1473676177,0.0,-4.43697499233
42,-134.00,11.95,9.96,1473676185,0.0,-4.43697499233
43,-80.00,8.60,10.28,1473676193,0.0,-4.43697499233
44,-80.00,8.46,10.31,1473676200,0.0,-4.43697499233
45,-129.00,10.99,10.29,1473676208,0.0,-4.43697499233
46,-135.00,11.45,10.48,1473676216,0.0,-4.43697499233
47,-130.00,12.29,10.61,1473676223,0.0,-4.43697499233
48,-128.00,10.62,10.79,1473676231,0.0,-4.43697499233
49,-137.00,11.16,10.52,1473676238,0.0,-4.43697499233
50,-125.00,11.37,10.75,1473676246,0.0,-4.43697499233
51,-128.00,8.63,10.70,1473676254,0.0,-4.43697499233
52,-129.00,12.87,10.69,1473676261,0.0,-4.43697499233
53,-128.00,10.36,10.55,1473676269,0.0,-4.43697499233
54,-80.00,8.83,10.41,1473676277,0.0,-4.43697499233
55,-131.00,11.16,10.24,1473676284,0.0,-4.43697499233
56,-81.00,9.08,10.15,1473676292,0.0,-4.43697499233
57,-81.00,8.75,9.99,1473676300,0.0,-4.43697499233
58,-128.00,10.14,9.92,1473676307,0.0,-4.43697499233
59,-81.00,8.91,9.82,1473676315,0.0,-4.43697499233
60,-130.00,12.18,9.82,1473676323,0.0,-4.43697499233
61,-137.00,9.19,9.94,1473676330,0.0,-4.43697499233
62,-82.00,9.66,9.94,1473676338,0.0,-4.43697499233
63,-127.00,9.16,9.93,1473676345,0.0,-4.43697499233
64,-81.00,8.81,10.01,1473676353,0.0,-4.43697499233
65,-82.00,8.45,9.98,1473676361,0.0,-4.43697499233
66,-81.00,8.64,9.78,1473676368,0.0,-4.43697499233
67,-127.00,9.06,9.72,1473676376,0.0,-4.43697499233
68,-82.00,9.66,9.87,1473676384,0.0,-4.43697499233
69,-79.00,9.17,9.42,1473676391,0.0,-4.43697499233
70,-80.00,8.96,9.40,1473676399,0.0,-4.43697499233
