seq,rssi,snr,avg_snr,timestamp,attenuator,gain
0,-80.00,8.38,10.31,1473675858,0.0,-4.43697499233
1,-78.00,8.53,10.06,1473675866,0.0,-4.43697499233
2,-78.00,8.86,9.82,1473675874,0.0,-4.43697499233
3,-77.00,8.74,9.96,1473675881,0.0,-4.43697499233
4,-77.00,8.45,9.54,1473675889,0.0,-4.43697499233
5,-77.00,8.28,9.88,1473675897,0.0,-4.43697499233
6,-132.00,13.10,9.63,1473675904,0.0,-4.43697499233
7,-78.00,8.53,9.78,1473675912,0.0,-4.43697499233
8,-129.00,10.09,9.97,1473675920,0.0,-4.43697499233
9,-78.00,9.57,10.12,1473675927,0.0,-4.43697499233
10,-78.00,8.76,10.00,1473675936,0.0,-4.43697499233
11,-77.00,8.36,10.22,1473675943,0.0,-4.43697499233
12,-128.00,11.29,10.13,1473675951,0.0,-4.43697499233
13,-78.00,8.81,10.01,1473675959,0.0,-4.43697499233
14,-78.00,8.38,9.92,1473675966,0.0,-4.43697499233
15,-78.00,8.74,9.86,1473675974,0.0,-4.43697499233
16,-79.00,8.67,9.83,1473675982,0.0,-4.43697499233
17,-132.00,12.66,9.81,1473675989,0.0,-4.43697499233
18,-123.00,8.64,9.97,1473675997,0.0,-4.43697499233
19,-76.00,9.47,9.97,1473676005,0.0,-4.43697499233
20,-77.00,9.19,10.17,1473676012,0.0,-4.43697499233
21,-123.00,8.39,10.16,1473676020,0.0,-4.43697499233
22,-132.00,10.53,10.04,1473676028,0.0,-4.43697499233
23,-80.00,9.10,10.12,1473676035,0.0,-4.43697499233
24,-130.00,12.13,9.85,1473676043,0.0,-4.43697499233
25,-127.00,8.91,9.93,1473676050,0.0,-4.43697499233
26,-80.00,8.71,9.77,1473676058,0.0,-4.43697499233
27,-81.00,9.37,9.95,1473676066,0.0,-4.43697499233
28,-124.00,10.23,9.66,1473676073,0.0,-4.43697499233
29,-130.00,14.23,9.70,1473676083,0.0,-4.43697499233
30,-80.00,9.14,9.97,1473676092,0.0,-4.43697499233
31,-80.00,8.86,10.04,1473676096,0.0,-4.43697499233
32,-80.00,7.99,10.04,1473676104,0.0,-4.43697499233
33,-132.00,9.83,10.02,1473676112,0.0,-4.43697499233
34,-81.00,8.87,9.95,1473676119,0.0,-4.43697499233
35,-128.00,10.01,9.86,1473676127,0.0,-4.43697499233
36,-135.00,12.97,9.97,1473676134,0.0,-4.43697499233
37,-81.00,9.45,9.97,1473676142,0.0,-4.43697499233
38,-80.00,7.97,9.46,1473676150,0.0,-4.43697499233
39,-130.00,9.75,9.50,1473676157,0.0,-4.43697499233
40,-130.00,12.96,9.53,1473676165,0.0,-4.43697499233
41,-80.00,8.41,9.96,1473676173,0.0,-4.43697499233
42,-128.00,10.43,9.96,1473676180,0.0,-4.43697499233
43,-130.00,12.51,10.09,1473676188,0.0,-4.43697499233
44,-127.00,12.30,10.15,1473676196,0.0,-4.43697499233
45,-80.00,8.55,10.28,1473676203,0.0,-4.43697499233
46,-80.00,8.70,10.48,1473676211,0.0,-4.43697499233
47,-128.00,9.92,10.59,1473676219,0.0,-4.43697499233
48,-130.00,11.03,10.71,1473676226,0.0,-4.43697499233
49,-80.00,8.23,10.73,1473676234,0.0,-4.43697499233
50,-131.00,10.49,10.69,1473676241,0.0,-4.43697499233
51,-79.00,8.57,10.79,1473676249,0.0,-4.43697499233
52,-131.00,11.49,10.60,1473676257,0.0,-4.43697499233
53,-126.00,8.51,10.73,1473676264,0.0,-4.43697499233
54,-129.00,8.62,10.49,1473676272,0.0,-4.43697499233
55,-80.00,8.45,10.32,1473676280,0.0,-4.43697499233
56,-132.00,9.94,10.15,1473676290,0.0,-4.43697499233
57,-124.00,10.14,10.03,1473676295,0.0,-4.43697499233
58,-126.00,8.10,10.05,1473676303,0.0,-4.43697499233
59,-133.00,9.63,9.79,1473676310,0.0,-4.43697499233
60,-130.00,9.89,9.83,1473676318,0.0,-4.43697499233
61,-81.00,9.14,9.92,1473676325,0.0,-4.43697499233
62,-82.00,9.15,9.91,1473676333,0.0,-4.43697499233
63,-81.00,9.20,9.93,1473676341,0.0,-4.43697499233
64,-129.00,12.25,9.86,1473676348,0.0,-4.43697499233
65,-130.00,8.57,9.97,1473676356,0.0,-4.43697499233
66,-81.00,8.69,9.92,1473676364,0.0,-4.43697499233
67,-81.00,8.85,9.71,1473676371,0.0,-4.43697499233
68,-132.00,12.66,9.70,1473676379,0.0,-4.43697499233
69,-80.00,8.59,9.70,1473676387,0.0,-4.43697499233
70,-80.00,8.85,9.42,1473676394,0.0,-4.43697499233
71,-80.00,8.87,9.39,1473676402,0.0,-4.43697499233
72,-134.00,10.85,9.59,1473676410,0.0,-4.43697499233
73,-131.00,11.59,9.66,1473676417,0.0,-4.43697499233
74,-80.00,9.15,9.83,1473676425,0.0,-4.43697499233
75,-79.00,8.67,9.99,1473676432,0.0,-4.43697499233
76,-80.00,8.59,9.99,1473676440,0.0,-4.43697499233
77,-133.00,12.27,9.78,1473676448,0.0,-4.43697499233
78,-80.00,8.50,9.98,1473676455,0.0,-4.43697499233
79,-129.00,15.26,10.02,1473676463,0.0,-4.43697499233
80,-129.00,12.85,10.41,1473676472,0.0,-4.43697499233
81,-133.00,10.50,10.44,1473676478,0.0,-4.43697499233
82,-126.00,8.72,10.45,1473676486,0.0,-4.43697499233
83,-79.00,8.85,10.44,1473676494,0.0,-4.43697499233
84,-129.00,10.50,10.56,1473676501,0.0,-4.43697499233
85,-80.00,9.18,10.73,1473676509,0.0,-4.43697499233
86,-134.00,12.40,10.72,1473676517,0.0,-4.43697499233
87,-129.00,11.53,10.65,1473676524,0.0,-4.43697499233
88,-125.00,9.14,10.84,1473676532,0.0,-4.43697499233
89,-80.00,8.38,10.26,1473676539,0.0,-4.43697499233
90,-133.00,11.90,10.16,1473676547,0.0,-4.43697499233
91,-80.00,8.52,10.37,1473676555,0.0,-4.43697499233
92,-128.00,11.93,10.37,1473676562,0.0,-4.43697499233
93,-79.00,8.96,10.51,1473676570,0.0,-4.43697499233
94,-80.00,8.45,10.54,1473676578,0.0,-4.43697499233
95,-127.00,10.44,10.53,1473676585,0.0,-4.43697499233
96,-77.00,8.32,10.64,1473676593,0.0,-4.43697499233
97,-124.00,11.50,10.55,1473676601,0.0,-4.43697499233
98,-78.00,8.28,10.72,1473676608,0.0,-4.43697499233
99,-77.00,8.96,10.51,1473676616,0.0,-4.43697499233
100,-78.00,9.56,10.55,1473676623,0.0,-4.43697499233
101,-127.00,12.06,10.23,1473676631,0.0,-4.43697499233
