seq,rssi,snr,avg_snr,timestamp,attenuator,gain
0,-79.00,8.25,8.91,1473760937,0.0,-7.63266719878
1,-77.00,7.97,8.87,1473760939,0.0,-5.45815041522
2,-84.00,7.92,8.85,1473760940,0.0,-12.6547576371
3,-98.00,8.49,8.81,1473760942,0.0,-26.8859781395
4,-142.00,6.75,8.73,1473760943,0.0,-24.6909708576
5,-92.00,8.47,8.70,1473760945,0.0,-21.2913846108
6,-97.00,8.78,8.68,1473760946,0.0,-25.1478483668
7,-84.00,9.30,8.67,1473760948,0.0,-12.4152768776
8,-99.00,8.03,8.70,1473760949,0.0,-28.5131757567
9,-98.00,8.46,8.66,1473760951,0.0,-27.3488819785
10,-96.00,9.07,8.56,1473760952,0.0,-25.2011472126
11,-96.00,8.84,8.60,1473760954,0.0,-24.6321159066
12,-83.00,8.57,8.62,1473760955,0.0,-11.8724819901
13,-109.00,12.46,8.59,1473760957,0.0,-1.58709686017
14,-102.00,8.91,8.84,1473760958,0.0,-29.9669387843
15,-78.00,8.73,8.86,1473760960,0.0,-6.63786896272
16,-81.00,8.67,8.83,1473760961,0.0,-9.86928282771
17,-94.00,7.95,8.83,1473760963,0.0,-22.6802427066
18,-91.00,8.31,8.80,1473760964,0.0,-20.3075416479
19,-94.00,8.98,8.80,1473760966,0.0,-23.3351502917
20,-98.00,8.52,8.83,1473760967,0.0,-27.3370753904
21,-88.00,8.75,8.75,1473760969,0.0,-16.9362192554
22,-83.00,8.48,8.77,1473760970,0.0,-11.9028160488
23,-72.00,8.83,8.77,1473760972,0.0,-0.236118170433
24,-130.00,8.50,8.75,1473760973,0.0,-12.4342691456
25,-90.00,8.82,8.75,1473760975,0.0,-19.577188713
26,-125.00,8.56,8.76,1473760976,0.0,-7.79173573712
27,-88.00,9.05,8.80,1473760978,0.0,-16.1480077403
28,-77.00,8.26,8.84,1473760979,0.0,-6.17831959622
29,-95.00,9.54,8.83,1473760981,0.0,-23.7859076774
30,-82.00,8.16,8.93,1473760982,0.0,-11.8155939854
31,-80.00,9.11,8.92,1473760984,0.0,-8.82543087238
32,-93.00,8.35,8.93,1473760985,0.0,-21.5768921888
33,-87.00,8.39,8.90,1473760987,0.0,-16.1709001986
34,-79.00,8.80,8.91,1473760988,0.0,-7.8992721322
35,-134.00,10.51,8.92,1473760990,0.0,-6.86528314138
36,-94.00,9.04,8.99,1473760991,0.0,-22.7155700256
37,-73.00,9.25,9.00,1473760993,0.0,-1.82817616034
38,-85.00,8.87,9.03,1473760994,0.0,-13.742502986
39,-85.00,8.66,8.80,1473760996,0.0,-13.0258385511
40,-87.00,8.40,8.79,1473760997,0.0,-15.7299459376
41,-87.00,8.30,8.78,1473760999,0.0,-15.9810648789
42,-82.00,8.69,8.77,1473761000,0.0,-10.4482715903
43,-81.00,8.66,8.79,1473761002,0.0,-9.87189125502
44,-80.00,8.23,8.81,1473761003,0.0,-7.44558488019
45,-85.00,8.56,8.78,1473761005,0.0,-13.6646956159
46,-86.00,8.85,8.78,1473761006,0.0,-15.0195137342
47,-128.00,11.04,8.78,1473761008,0.0,-4.05516800238
48,-88.00,8.13,8.91,1473761009,0.0,-16.2464932934
49,-90.00,8.61,8.89,1473761011,0.0,-18.2117024576
50,-92.00,9.11,8.89,1473761012,0.0,-20.3365944559
51,-76.00,8.95,8.90,1473761014,0.0,-4.30612763157
52,-85.00,8.63,8.92,1473761015,0.0,-14.3312506378
53,-85.00,9.14,8.90,1473761017,0.0,-13.7976986286
54,-86.00,8.17,8.94,1473761018,0.0,-14.677836278
55,-129.00,9.47,8.88,1473761020,0.0,-9.68692709925
56,-93.00,8.49,8.93,1473761021,0.0,-21.5221840097
57,-73.00,8.61,8.91,1473761023,0.0,-0.617110000458
58,-82.00,8.94,8.92,1473761024,0.0,-10.6566356029
59,-92.00,9.18,8.94,1473761026,0.0,-20.6857049279
60,-87.00,8.75,8.95,1473761027,0.0,-15.5731740617
61,-93.00,8.55,8.87,1473761029,0.0,-21.9935319526
62,-73.00,8.46,8.85,1473761030,0.0,-1.14276877139
63,-80.00,8.78,8.82,1473761032,0.0,-9.14368304657
64,-86.00,8.42,8.82,1473761033,0.0,-15.2077394421
65,-119.00,8.51,8.81,1473761035,0.0,-1.19076967472
66,-97.00,8.57,8.81,1473761036,0.0,-25.9019097383
68,-83.00,7.97,8.82,1473761039,0.0,-11.7596078664
71,-92.00,9.27,8.79,1473761044,0.0,-19.965627878
73,-107.00,10.39,8.82,1473761047,0.0,-0.286291243974
76,-129.00,9.24,8.92,1473761051,0.0,-5.69250036729
77,-94.00,8.90,8.94,1473761053,0.0,-22.306603021
78,-94.00,9.27,8.95,1473761054,0.0,-22.5205807225
79,-91.00,8.78,8.95,1473761056,0.0,-20.3982090787
80,-84.00,9.25,8.85,1473761057,0.0,-13.3873179671
81,-83.00,8.28,8.88,1473761059,0.0,-11.9237468485
82,-95.00,8.92,8.87,1473761060,0.0,-23.9312099037
