seq,rssi,snr,avg_snr,timestamp,attenuator,gain
0,-124.00,7.90,10.06,1473675865,0.0,-4.43697499233
1,-78.00,9.11,9.83,1473675872,0.0,-4.43697499233
2,-126.00,10.95,9.85,1473675880,0.0,-4.43697499233
3,-125.00,8.86,9.66,1473675887,0.0,-4.43697499233
4,-132.00,11.77,9.77,1473675895,0.0,-4.43697499233
5,-131.00,8.19,9.70,1473675903,0.0,-4.43697499233
6,-78.00,7.99,9.85,1473675910,0.0,-4.43697499233
7,-137.00,9.62,9.93,1473675918,0.0,-4.43697499233
8,-127.00,9.84,10.06,1473675926,0.0,-4.43697499233
9,-78.00,8.26,10.00,1473675934,0.0,-4.43697499233
10,-126.00,8.83,10.27,1473675942,0.0,-4.43697499233
11,-78.00,8.59,10.12,1473675950,0.0,-4.43697499233
12,-128.00,11.22,10.24,1473675957,0.0,-4.43697499233
13,-78.00,9.33,9.89,1473675965,0.0,-4.43697499233
14,-129.00,12.20,9.69,1473675973,0.0,-4.43697499233
15,-78.00,8.94,9.99,1473675980,0.0,-4.43697499233
16,-81.00,8.34,9.87,1473675988,0.0,-4.43697499233
17,-77.00,9.10,9.95,1473675995,0.0,-4.43697499233
18,-127.00,13.17,10.03,1473676003,0.0,-4.43697499233
19,-77.00,9.29,10.15,1473676011,0.0,-4.43697499233
20,-77.00,8.84,10.16,1473676018,0.0,-4.43697499233
21,-81.00,8.43,10.05,1473676026,0.0,-4.43697499233
22,-80.00,9.38,10.10,1473676034,0.0,-4.43697499233
23,-81.00,8.69,9.97,1473676041,0.0,-4.43697499233
24,-134.00,10.18,9.99,1473676049,0.0,-4.43697499233
25,-81.00,9.04,9.77,1473676057,0.0,-4.43697499233
26,-128.00,12.91,9.78,1473676064,0.0,-4.43697499233
27,-132.00,11.40,9.71,1473676072,0.0,-4.43697499233
29,-129.00,9.28,9.96,1473676087,0.0,-4.43697499233
30,-80.00,9.62,10.00,1473676095,0.0,-4.43697499233
31,-80.00,9.32,10.04,1473676102,0.0,-4.43697499233
33,-128.00,10.33,9.89,1473676118,0.0,-4.43697499233
34,-81.00,8.24,9.89,1473676125,0.0,-4.43697499233
35,-81.00,8.46,9.98,1473676133,0.0,-4.43697499233
36,-132.00,9.23,9.96,1473676141,0.0,-4.43697499233
37,-80.00,8.78,9.82,1473676148,0.0,-4.43697499233
38,-80.00,9.10,9.50,1473676156,0.0,-4.43697499233
39,-80.00,8.79,9.54,1473676164,0.0,-4.43697499233
40,-125.00,13.20,9.70,1473676171,0.0,-4.43697499233
41,-79.00,8.67,9.95,1473676179,0.0,-4.43697499233
42,-80.00,8.45,10.09,1473676186,0.0,-4.43697499233
43,-128.00,9.04,10.23,1473676194,0.0,-4.43697499233
44,-129.00,12.72,10.10,1473676202,0.0,-4.43697499233
45,-130.00,11.72,10.35,1473676209,0.0,-4.43697499233
46,-130.00,10.64,10.60,1473676217,0.0,-4.43697499233
47,-80.00,9.17,10.73,1473676225,0.0,-4.43697499233
48,-125.00,11.03,10.67,1473676232,0.0,-4.43697499233
49,-127.00,11.84,10.61,1473676240,0.0,-4.43697499233
50,-80.00,8.77,10.79,1473676248,0.0,-4.43697499233
51,-134.00,10.31,10.55,1473676255,0.0,-4.43697499233
52,-80.00,8.58,10.73,1473676263,0.0,-4.43697499233
53,-81.00,8.34,10.58,1473676271,0.0,-4.43697499233
54,-80.00,9.09,10.41,1473676278,0.0,-4.43697499233
55,-134.00,9.00,10.30,1473676286,0.0,-4.43697499233
56,-80.00,8.79,10.10,1473676293,0.0,-4.43697499233
