seq,rssi,snr,avg_snr,timestamp,attenuator,gain
0,-115.00,8.21,8.68,1474020303,-30.0,-7.87578225369
1,-112.00,8.46,8.68,1474020305,-30.0,-3.665394173
3,-124.00,8.06,8.64,1474020308,-30.0,-15.2638722793
4,-128.00,8.21,8.63,1474020309,-30.0,-20.7254839945
5,-113.00,9.14,8.60,1474020311,-30.0,-4.41050780006
6,-117.00,9.28,8.64,1474020312,-30.0,-8.63071611151
7,-112.00,9.32,8.69,1474020314,-30.0,-2.94677770464
9,-116.00,8.19,8.71,1474020317,-30.0,-8.66438569967
10,-132.00,7.49,8.73,1474020318,-30.0,-26.8447989738
11,-117.00,8.68,8.70,1474020320,-30.0,-10.3250015317
12,-132.00,7.92,8.70,1474020321,-30.0,-25.1372881536
13,-115.00,7.99,8.66,1474020323,-30.0,-7.61697793845
14,-112.00,8.54,8.61,1474020324,-30.0,-3.6079171719
15,-130.00,8.12,8.62,1474020326,-30.0,-22.0817099721
17,-118.00,8.13,8.61,1474020329,-30.0,-10.3234004416
18,-131.00,8.58,8.56,1474020330,-30.0,-22.7127040923
19,-114.00,8.87,8.56,1474020332,-30.0,-5.57484782534
20,-121.00,8.33,8.55,1474020333,-30.0,-14.0461002546
21,-127.00,7.78,8.51,1474020335,-30.0,-19.4692050316
22,-128.00,8.26,8.50,1474020336,-30.0,-20.9984853119
23,-129.00,8.46,8.51,1474020338,-30.0,-22.2737709596
24,-111.00,8.54,8.48,1474020339,-30.0,-3.95461281762
25,-120.00,8.83,8.43,1474020341,-30.0,-13.3851598995
26,-112.00,8.75,8.46,1474020342,-30.0,-4.84717649175
27,-133.00,7.92,8.49,1474020344,-30.0,-25.8696257207
28,-122.00,8.12,8.43,1474020345,-30.0,-15.2916259482
29,-116.00,8.79,8.41,1474020347,-30.0,-9.53258520691
30,-119.00,9.62,8.44,1474020348,-30.0,-11.8622621452
31,-113.00,8.84,8.50,1474020350,-30.0,-5.08280904964
33,-119.00,7.75,8.53,1474020353,-30.0,-12.5286511914
34,-135.00,6.98,8.48,1474020354,-30.0,-29.7661175416
35,-126.00,7.58,8.39,1474020356,-30.0,-18.9594049053
36,-128.00,7.84,8.39,1474020357,-30.0,-21.5519606858
37,-114.00,8.84,8.30,1474020359,-30.0,-7.00880962657
38,-124.00,8.55,8.36,1474020360,-30.0,-17.8512477013
39,-110.00,9.23,8.35,1474020362,-30.0,-3.56446669903
40,-119.00,8.75,8.41,1474020363,-30.0,-13.0070501869
41,-110.00,8.64,8.41,1474020365,-30.0,-3.96760948934
42,-124.00,8.88,8.44,1474020366,-30.0,-18.4315220453
44,-110.00,8.74,8.47,1474020369,-30.0,-3.43594472855
46,-109.00,9.19,8.49,1474020372,-30.0,-1.96819319855
49,-126.00,8.82,8.51,1474020376,-30.0,-18.9621754945
50,-113.00,9.17,8.52,1474020378,-30.0,-5.37717715837
51,-118.00,8.56,8.55,1474020379,-30.0,-11.780068092
54,-124.00,8.18,8.58,1474020384,-30.0,-16.9784820336
55,-133.00,7.75,8.58,1474020385,-30.0,-26.9084569649
59,-120.00,8.80,8.55,1474020391,-30.0,-11.9519565138
60,-115.00,9.04,8.56,1474020393,-30.0,-6.34915456641
61,-117.00,8.24,8.57,1474020394,-30.0,-10.4716669489
62,-110.00,9.00,8.55,1474020396,-30.0,-3.10691953171
63,-126.00,8.63,8.60,1474020397,-30.0,-19.7109405091
64,-117.00,8.87,8.62,1474020399,-30.0,-10.0885168556
65,-130.00,7.17,8.62,1474020400,-30.0,-23.5105183418
66,-121.00,7.99,8.52,1474020402,-30.0,-13.6742194765
67,-115.00,8.74,8.49,1474020403,-30.0,-8.04482216947
68,-129.00,7.83,8.53,1474020405,-30.0,-21.1720216577
69,-125.00,8.52,8.55,1474020406,-30.0,-19.3058113474
70,-130.00,8.06,8.58,1474020408,-30.0,-23.5194327054
71,-122.00,9.10,8.59,1474020409,-30.0,-15.1544179162
72,-126.00,8.36,8.61,1474020411,-30.0,-20.513950889
73,-112.00,8.51,8.60,1474020412,-30.0,-4.57522416953
74,-116.00,8.84,8.57,1474020414,-30.0,-9.95540030301
75,-126.00,8.62,8.57,1474020415,-30.0,-19.95662431
76,-123.00,8.15,8.56,1474020417,-30.0,-17.0101121441
77,-120.00,8.52,8.54,1474020418,-30.0,-13.6967990804
78,-119.00,8.71,8.53,1474020420,-30.0,-12.7455193363
79,-127.00,8.78,8.51,1474020421,-30.0,-20.0394555763
